Part number,RTC Type,Accuracy (+/-ppm),Supply Voltage [Min to Max] (V),Low supply current (uA),Communication Protocol,Baudrate,Capacitive load (uF),Battery Back Up,SRAM,Watchdog Timer,Programmable alarm,Countdown Timer,Tamper input,Number of interrupts,Integrated Temperature Compensation,Operating Temperature (℃),AEC-Q100 compliant,Package type,Package dimensions (mm),Supplier
DS3231MZ,IC,5,1.8 to 5.5,0.55,I2C,400,,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS3231MS,IC,5,1.8 to 5.5,0.55,I2C,400,,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,SO16,4.9 x 3.9,Analog devices
DS1341U,IC,Ext Crystal,1.8 to 5.5,0.55,I2C,400,,No,No,No,Yes,No,No,2,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS1342U,IC,Ext Crystal,2.3 to 5.5,1,I2C,400,,No,No,No,Yes,No,No,2,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS1372U,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS3234S,IC,2,1.8 to 5.5,0.5,SPI,400,,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,SO20,12.8 x 7.5,Analog devices
DS3232S,IC,2,1.8 to 3.6,0.3,I2C,400,,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,SO20,12.8 x 7.5,Analog devices
DS1388Z,IC,Ext Crystal,2.3 to 5.5,1,I2C,400,,Yes,No,Yes,No,No,No,1,No,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS3231S,IC,2,2.3 to 5.5,1,I2C,400,,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,SO16,10.3 x 7.5,Analog devices
DS1390U,IC,Ext Crystal,4.5 to 5.5,3,SPI,4000,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS1391U,IC,Ext Crystal,2.3 to 5.5,1,SPI,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS1392U,IC,Ext Crystal,4.5 to 5.5,3,3-Wire,,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS1393U,IC,Ext Crystal,4.5 to 5.5,3,3-Wire,,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS1394U,IC,Ext Crystal,4.5 to 5.5,3,3-Wire,,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS12CR887,IC,20,4.5 to 5.5,3,Multiplexed,,,Yes,No,No,Yes,No,No,3,No,-40 to 85,No,DIP24,34.0 x 17.8,Analog devices
DS12R885S,IC,Ext Crystal,4.5 to 5.5,3,Multiplexed,,,Yes,No,No,Yes,No,No,3,No,-40 to 85,No,SO24,,Analog devices
DS1340Z,IC,Ext Crystal,4.5 to 5.5,3,I2C,400 kHz,,Yes,No,No,No,No,No,No,No,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS1340U,IC,Ext Crystal,4.5 to 5.5,3,I2C,400 kHz,,Yes,No,No,No,No,No,No,No,-40 to 85,No,TSSOP8,4.9 x 3.9,Analog devices
DS1340CS,IC,20,4.5 to 5.5,3,I2C,400 kHz,,Yes,No,No,No,No,No,No,No,-40 to 85,No,SO16,10.3 x 7.5,Analog devices
DS1375S,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,HXSON6,,Analog devices
DS1374U,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,Yes,No,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS1374CS,IC,20,1.8 to 3.6,0.3,I2C,400,,Yes,No,Yes,No,No,No,1,No,-40 to 85,No,SO16,10.3 x 7.5,Analog devices
DS1374UU,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,Yes,No,No,No,1,No,-40 to 85,No,TSSOP10,3.0 x 3.0,Analog devices
DS1501S,IC,Ext Crystal,1.8 to 5.5,0.5,Parallel,400,,Yes,No,Yes,Yes,No,No,1,No,-40 to 85,No,SO28,,Analog devices
